flyktingar,invandrare,flyktingarna,asyl,uppehållstillstånd,asylsökande,rasism,stanna,medborgare,invandrarverket,diskriminering,flykting,invandrarna,migrationsverket,återvända,medborgarskap,invandring,rasistiska,visum,hemlandet
arbetar,arbetat,kontor,birgitta,tillsammans,anställd,kolleger,kvinnlig,kontoret,arbetsplats,intensivt,arbetade,arbetsplatser,manlig,arbetsplatsen,berättar,kollegor,sysslar,stab,kollegerna
artikel,artikeln,tidningen,gårdagens,rubriken,läs,tidning,publicerade,marocko,publicerades,ange,expressen_se,texten,skrev,svd,po,rubrik,expressens,beklagar,löd
statsrådet,generaldirektör,holmberg,statssekreterare,ordförande,statsråd,lange,departementet,departement,skoglund,inrikesminister,zetterberg,handelsminister,representanter,byråchef,sakkunnig,inrikesministern,justitiedepartementet,fredagens,generaldirektören
stora,mängder,framgångar,små,stor,affischer,knutna,genombrott,affisch,famnen,sammanhangen,affischen,affischerna,nävar,mått,förtjänster,domineras,uppoffringar,frågetecknet,jättestora
rättigheter,skydd,mänskliga,medborgare,rätten,rättigheterna,grundläggande,skydda,integritet,principer,rättighet,grundlagen,enskilde,skyddet,yttrandefriheten,medborgarna,strider,yttrandefrihet,värna,skyldigheter
brev,skrev,skrivit,brevet,skickade,skickat,skriver,anonyma,breven,helen,dagbok,anteckningar,skrivet,skrevs,helander,skriva,undertecknat,telefonsamtal,anonymt,läste
tillstånd,hjärtat,hjärta,blod,andas,frisk,luft,blodet,drabbades,tillståndet,drabbats,hjärtan,hjärtinfarkt,kroppen,hjärnan,hjärna,lungorna,kritiskt,puls,hjärtats
skäl,finns,därför,naturliga,praktiska,starka,jämna,rent,skälet,mellanrum,tillräckligt,anta,skälen,finnas,föreligger,orsaker,tillräckliga,naturlig,naturligt,därtill
människor,svåra,svår,ensamma,situation,utsatta,tvingas,utsatt,värst,oerhört,utsätts,erland,behandling,utsatts,påfrestningar,hemlösa,skrämmande,utsättas,hjälpa,josephson
dikter,dikt,poesi,dikten,poeten,poet,lyrik,diktare,diktsamling,poetiska,skalden,tegner,poeter,vers,poesin,samling,dikterna,samlingen,diktaren,diktning
rädd,oro,känner,rädsla,orolig,oroliga,oron,skräck,fruktan,vågade,rädslan,oroar,hända,fruktar,sprider,ångest,hotad,skrämma,skrämmande,skrämmer
lär,punkt,även,sägs,därför,tanken,punkten,sätter,funnits,avslutad,wall,dit,rudolf,påstås,hänt,club,mening,satt,december,finnas
lager,trä,material,stål,plast,verktyg,plåt,betong,järn,yta,metall,aluminium,tillverkas,ytan,rostfritt,tål,koppar,spik,färdiga,materialet
ta,emot,tar,tvärt,tacksamt,tas,tagit,beredd,gent,stretar,stretade,stöten,stötarna,streta,spjärnar,spjärna,stretat,spjärnade,fajten,käfta
fru,fröken,herr,elsa,astrid,ruth,margit,märta,signe,britta,ellen,julie,brita,maja,olga,ingeborg,ester,gerda,fruarna,helga
flytta,bor,lägenhet,bostad,lägenheten,flyttar,bo,bott,katarina,flyttat,bodde,granne,flyttade,bostaden,hyra,grannar,grannarna,grannen,sambo,hyr
nej,ja,tacka,tackade,säga,tackar,tackat,blankt,erbjudande,oh,anm,ack,jaså,reds,erbjuden,säg,rungande,tillfrågad,haha,erbjöds
två,ström,män,tredjedelar,delat,jämn,ströms,separata,gånger,vartdera,tre,hälfter,numro,turid,fyra,identiska,stridare,uppdelat,hällgren,dubblerade
sorn,oell,nied,mi,lia,ilar,korn,mångå,eli,mäste,nian,mai,deri,tili,ali,hern,ätt,värå,bley,arn
fördes,sjukhus,skador,skadade,sjukhuset,lasarett,ambulans,svåra,lasarettet,avled,skadad,föras,medvetslös,allvarligt,vårdas,skadades,livshotande,ambulansen,skadorna,allvarliga
kommit,fram,komma,överens,långt,hamnat,kläm,underfund,skymundan,emellan,efterkälken,diskuterat,lindhagen,otakt,avvägar,katz,blickpunkten,ropet,villovägar,dithän
lever,liv,leva,livet,tillvaro,levde,levt,tillvaron,värld,människor,lyx,människorna,fattigdom,vardagen,människors,överflöd,vardag,misär,levat,lyckligare
helt,enkelt,holmes,watson,sherlock,oacceptabelt,doyle,conan,smärtfritt,simpelt,okomplicerat,problemfritt,handgrepp,kelt,palo,alto,riskfritt,odramatiskt,lättfattligt,elementärt
igen,känner,dags,börja,ted,känna,petra,dyker,tillbaks,katja,bölja,dato,dyka,lurad,lurade,böija,gärdestad,längtar,böljar,mede
handlar,relation,relationer,hantera,partner,beskriver,förhållande,självklart,oavsett,relationen,fokus,beskrivs,extremt,viktigt,grunden,utifrån,perspektiv,vardagen,närhet,ses
öre,priserna,kg,pr,priset,priser,höja,höjning,dyrare,pris,stigit,höjs,höjningen,lägre,höjda,prishöjningar,höjts,höjas,billigare,sänka
medlemmar,föreningen,förbundet,förening,medlemmarna,ordförande,medlem,förbundets,föreningens,förbund,ordföranden,bildades,ombudsman,föreningar,anslutna,sammanslutning,årsmöte,föreningarna,riksförbundet,kooperativa
gamla,numera,förr,tider,forna,längre,tiders,gammalt,ersatts,ersatt,påminner,förändrats,stundar,kärva,övertagit,nedlagda,numer,övergått,växt,pensionerad
företag,företaget,anställda,vd,företagets,företagen,företagare,konkurs,branschen,bolag,ägs,direktörer,anställdas,multinationella,företagsledare,företagsledningen,ägarna,ägare,småföretagare,bransch
dn,svd,rapport,enligt,rapporten,aktuellt,kommentar,framgår,konstaterar,erfar,presenterades,bekräftar,gårdagens,hänvisar,presenteras,publicerades,rapporterat,kommenterar,granskat,rapportera
samband,enligt,skett,troligen,förekommit,tidigare,skedde,upplyser,omtalar,tyder,anledningen,förklarar,förts,liknande,undersöka,funnit,konstaterat,föremål,framkommit,uppger
bilder,bild,bilderna,bilden,kameran,fotograf,fotografen,kamera,text,fotografier,texten,kameror,tagna,fotografer,fotografera,fotografi,porträtt,fotograferna,kamerorna,fotograferade
före,strax,dan,efteråt,midnatt,avresan,timmarna,karolina,bäckman,waern,jul,avfärden,py,danne,corneliusson,midsommar,hylander,odin,deadline,stängningsdags
kontakt,kontakter,personliga,personlig,kontakten,nära,förbindelser,förbindelse,personligt,isolering,kontakterna,knyta,haft,täta,isolerade,isolerad,direkta,relationer,förmedla,intima
senare,först,början,halvår,dagar,ändrade,tidpunkt,tid,troligen,ursprungligen,skedde,tidpunkten,samme,flyttades,ändrades,decennier,dessförinnan,sena,meurling,återkomma
sprit,vin,öl,alkohol,dricka,glas,dricker,liter,flaska,drack,flaskor,druckit,spriten,whisky,systembolaget,champagne,flaskan,brännvin,promille,drycker
fram,lägga,lagt,lägger,lade,märke,grunden,beslag,ner,lägg,hyllan,lagd,tonvikten,ovanpå,lades,pussel,felicia,vantarna,huvudvikten,plockat
bara,tur,annars,ordentligt,skam,rejält,turen,otur,rejäl,framme,värre,resten,går,otrolig,ändå,klarat,oturen,laddat,sandgren,precis
närmare,bestämt,rör,ännu,detaljer,dock,förklarar,avslöja,tiu,eftertanke,kommit,tittat,redogöra,tul,bekräftar,precisera,skau,påseende,betraktande,okänt
hjärnan,kroppen,forskarna,forskare,biologiska,celler,kroppens,påverkar,bildas,upptäckt,ämne,samerna,ämnen,funktioner,organ,funktion,hjärna,renar,genetiska,cellerna
skärgård,skärgården,ön,färjan,ute,mälaren,brygga,turer,vaxholm,skär,roslagen,västkusten,fyr,fastlandet,båt,viken,dalarö,bryggan,båtar,stugor
ca,omfattar,varav,samt,totalt,ingår,anställda,består,enheter,huvudsakligen,verksamheten,enhet,uppgår,sammanlagt,nntal,antalet,bia,totala,förlagd,huvudsak
tre,månader,trion,harris,fjärdedelar,kronors,hampus,trions,fjärdedels,mittersta,gracerna,treklöver,musketörerna,klebold,hellekants,kronornas,tretalet,nämn,fjärdedelarna,trojka
temperament,intensitet,charm,tonen,klang,rytm,lysande,övertygande,stil,utsökt,inlevelse,konstnärlig,elegans,alltigenom,tolkning,finess,briljant,vitalitet,intryck,stycke
kväll,går,sent,söndags,tomas,lördags,igår,måndags,fredags,torsdags,onsdags,tisdags,sofia,morse,förrgår,eftermiddag,helgen,brolin,bulgarien,natt
johansson,sven,åke,kjell,rune,ake,johanssons,bergqvist,stolpe,lindman,melander,andreasson,wilhelmsson,wollter,bergkvist,nyländer,johanson,ortmark,fagerberg,backlund
